l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
1,0.1024253329214721,0.9494111487070886,0.02849019119061924,0.3809457319365114,0.21458685273117464,0.011362529962441064,11.405581951141357,0.9999990697286905,9.090708234037649,0.4610799906357674
5,0.8320732948393373,0.7181289769684278,0.061431698013336256,0.35774035508548857,0.23089252892599943,0.01266987976195365,12.557641983032227,0.9999988422009608,246.1592208162159,8.116408996017192
10,1.8777557504850928,0.7272058776007615,0.06417853999578793,0.35637098597591754,0.23240180607772598,0.01328682438395609,12.955699920654297,0.9999990287500027,502.83357434285597,19.481116363688212
50,3.8284030892629146,0.957652408456864,0.08758394499902189,0.34163427326247026,0.2467374094994935,0.015033740214112204,16.23926877975464,0.9875666562909318,97.08273320494116,7.904767808933555
100,11.174476033314734,0.608734149075483,0.08175059415232333,0.3458111579310319,0.2444228559580769,0.015258219025146704,21.32654118537903,0.9893055382779379,720.7559296666044,70.73860515110447
500,79.73626655514553,0.567651528770815,0.07659614225956002,0.3487588220356766,0.2407250838645733,0.014494610539840731,74.78114700317383,0.9994802583734396,18707.588189265356,710.147110096182
1000,89.9825509625609,0.5179999769520223,0.10144678129709073,0.33291417934112205,0.25541879834194897,0.01643166432126053,2718.2547540664673,0.9782115666245665,6050.950679201864,572.1672773909872
