l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
1,0.0781449456667355,0.982496249114874,0.023041298527195053,0.3845982742113788,0.21190350338310246,0.011125995913048596,149.6013970375061,0.9999886711362859,5.1358634784785275,0.21057752863254586
5,0.4315857522369801,0.9552420752322176,0.17275636585520537,0.28921214046481475,0.30174456426592905,0.020989839708197986,153.71285820007324,0.9965990293484009,24.66956888779365,1.351408681964052
10,0.9404624217802,0.9757948395600953,0.24281383571519566,0.25068052439154576,0.3544878930289223,0.028449925178195824,154.00446486473083,0.9979433401257779,51.24619120685963,3.2170335948804873
50,5.036497966836126,0.9579428105318702,0.380964437632509,0.16942842104307243,0.4548420057259958,0.03236638795085693,167.9176812171936,0.9973279370500493,271.3809361018092,19.0478230319955
100,7.292515949901358,0.8734130338056096,0.36437247493001945,0.17936769044034395,0.44163839806801736,0.03328352880849472,195.0294530391693,0.9915359802671321,537.9619471181525,29.10994665506912
500,45.128140888366985,0.7667250485987416,0.3257243735573243,0.21463607033558094,0.43141658501869073,0.04007522077868034,982.2849750518799,0.9780380276887591,2576.140818950988,167.0115210398309
1000,77.64753440030584,0.5621665254528028,0.3255402214631016,0.21222149335052598,0.42929545413100234,0.03670410406545397,3207.955953836441,0.9405219278766118,5773.061616081047,336.69871724388054
