objective,l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
lifetime_reward,1,0.07440999891311151,0.9878144796885268,0.02356381037741473,0.3841597083154693,0.2122358295558498,0.011041374232713614,892.5119962692261,0.9999960226327788,5.219972860128997,0.21706438380357532
lifetime_reward,5,0.40052381652983676,0.9595510479795005,0.43467012591417675,0.11153404012739344,0.45058078787884825,0.02897452189510312,734.2450950145721,0.9972027544937607,27.241484312986664,1.394526697000138
lifetime_reward,10,0.7637873147790303,0.9721510663310445,0.40231534823868675,0.13693121317362375,0.4358388074615455,0.035253393742796034,630.4350411891937,0.9974908019204591,52.32351833424151,2.301049309872979
lifetime_reward,50,4.9544591723240625,0.9539016135953412,0.47313657575444723,0.09078149877187797,0.4817120012206937,0.03779676754042652,664.7008550167084,0.9977411769865234,272.2702380785697,20.150621243945395
lifetime_reward,100,7.1403809567055045,0.9269567807950199,0.45980898133281367,0.10658989805948586,0.4826476237383847,0.039791553709437655,816.8011219501495,0.9949867270229261,527.7411017588425,25.289598786760724
lifetime_reward,500,42.014002653760144,0.7141051643886985,0.33688635732815464,0.17911828259003593,0.3958016616743114,0.03273265805441323,3405.6721222400665,0.9754444978321266,2763.4697343724656,177.37488046041705
lifetime_reward,1000,79.50761535129143,0.6047357958979944,0.3952547702948588,0.14987771732636007,0.4441254798328748,0.03759342877249833,9431.687790870667,0.9676469095117999,5676.304136140742,383.9486971533807
euler,1,0.004224505722815766,0.9999933979524644,0.024587724581942583,0.38346290353440465,0.2130216616627496,0.011157903252501116,34.54637289047241,0.9997366418764876,0.0015788082828545697,6.856148645528505e-05
euler,5,0.4783120288299835,0.9999898766164563,6.450751266484644e-07,0.39999961143360996,0.2000001323738627,0.010000006688198863,36.891470193862915,0.1330294258668534,137.03755268794617,0.001981015698364264
euler,10,0.9817945721460999,0.9999999999973702,1.1570203906074994e-08,0.39999999167627204,0.20000000554725758,0.010000000345638197,39.079227924346924,0.0014640326074669696,274.0752792199166,1.6627640466348946e-06
euler,50,5.210100067977657,0.9999999203441072,8.74441941078885e-08,0.3999999461279473,0.20000002076115947,0.010000001103894212,50.849637031555176,0.014297913222234282,1370.3762921434873,0.0015270343840097923
euler,100,8.645996073812645,0.9999997562852666,2.3479494770661802e-07,0.3999998576913207,0.2000000502283523,0.0100000025766852,64.08761811256409,0.3466176168438643,2740.7521805870506,0.006859622323025562
euler,500,8.89034940473068,0.9978332877479401,0.08652210947090277,0.3416667829594036,0.2456892037208984,0.01452169065630623,202.95637488365173,0.927410418857737,22.303740871403612,2.109745808568049
euler,1000,8.187671147393978,0.9998855968798928,0.10160268845029385,0.33163947784142367,0.2543924774551575,0.014930861558258937,530.933984041214,0.9999999591625415,14.27577330552468,0.5323229919696186
bellman,1,0.11551282951770549,0.9625111091854915,0.1419104015760697,0.30878882023126614,0.28275725524294953,0.018126509864058768,36.15248990058899,0.9996904972374316,1.0245940737759731,0.26622615801085026
bellman,5,0.5668002481072377,0.7746772654790534,0.11959632777539753,0.3174418458209191,0.25984314956707816,0.015389731941643963,39.39923620223999,0.9993893052698639,41.80797281022701,3.20841535147118
bellman,10,0.7643399764319954,0.8313913817339216,0.07825863738827632,0.34691253066670646,0.2406164780046506,0.013649178945367324,41.68575191497803,0.9827662493556635,63.02413888718531,2.7629587151645176
bellman,50,6.411868499429746,0.6561550858251787,0.10408907202362028,0.32983630239256,0.2548215080193052,0.015242959214681414,54.35661816596985,0.9954654301781869,566.44499665972,40.988605744439205
bellman,100,8.51848219344996,0.3861083897651347,0.08971252787996575,0.33839798411885436,0.24537383513477912,0.013956844892575322,68.8175790309906,0.9824216120390904,1192.809754200571,64.69474801786411
bellman,500,42.53371812424586,0.5002310097171359,0.15159934921471518,0.2980754635400076,0.2815470755146293,0.017853360743270635,211.033597946167,0.9637396797122533,3296.721762267119,250.53186881276463
bellman,1000,84.91298940675625,0.7328460258127035,0.10211985858815198,0.331249600769948,0.25423120461354576,0.015210647692764942,525.929413318634,0.9832528809545598,4380.424289187133,387.2463255063604
