l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
1,0.07440999891311151,0.9878144796885268,0.02356381037741473,0.3841597083154693,0.2122358295558498,0.011041374232713614,892.5119962692261,0.9999960226327788,5.219972860128997,0.21706438380357532
5,0.40052381652983676,0.9595510479795005,0.43467012591417675,0.11153404012739344,0.45058078787884825,0.02897452189510312,734.2450950145721,0.9972027544937607,27.241484312986664,1.394526697000138
10,0.7637873147790303,0.9721510663310445,0.40231534823868675,0.13693121317362375,0.4358388074615455,0.035253393742796034,630.4350411891937,0.9974908019204591,52.32351833424151,2.301049309872979
50,4.9544591723240625,0.9539016135953412,0.47313657575444723,0.09078149877187797,0.4817120012206937,0.03779676754042652,664.7008550167084,0.9977411769865234,272.2702380785697,20.150621243945395
100,7.1403809567055045,0.9269567807950199,0.45980898133281367,0.10658989805948586,0.4826476237383847,0.039791553709437655,816.8011219501495,0.9949867270229261,527.7411017588425,25.289598786760724
500,42.014002653760144,0.7141051643886985,0.33688635732815464,0.17911828259003593,0.3958016616743114,0.03273265805441323,3405.6721222400665,0.9754444978321266,2763.4697343724656,177.37488046041705
1000,79.50761535129143,0.6047357958979944,0.3952547702948588,0.14987771732636007,0.4441254798328748,0.03759342877249833,9431.687790870667,0.9676469095117999,5676.304136140742,383.9486971533807
