l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
1,0.07826313124409616,0.9828548955515094,0.023150516687272082,0.3845145905368854,0.21193257124984818,0.011123855363044124,143.77266812324524,0.9999926851626764,5.143036499893776,0.21178278197672265
5,0.42798867951694725,0.9560592727939538,0.1670764435368821,0.29232898456465595,0.2974544820925696,0.020428955463119458,152.29035687446594,0.9965677723102438,24.592029466145686,1.3147110272937124
10,0.9154831244522547,0.9758179396561365,0.16958393202142652,0.29115736171941525,0.2987605918841713,0.022148916037765927,149.70949816703796,0.9973556810255211,52.43088248498146,2.7540846261099152
50,5.07687345643027,0.9587564352738663,0.38681687028226897,0.16470941496735064,0.4559348817241526,0.03374034452499716,167.29188132286072,0.9974652786150345,265.9367574272927,19.446997890721185
100,6.8104873829157535,0.8377763357740647,0.33683326834970106,0.20217464508920768,0.43167711022399674,0.035664545130226204,224.53643131256104,0.9876169874332,535.7416676979991,27.625930746643146
500,44.01232683117445,0.7345851429303619,0.3096388482449557,0.2191645675061792,0.4128607708276682,0.03673699406637772,1064.3810119628906,0.9731615846405991,2800.1969696166584,164.0548327574536
1000,83.55179179616127,0.5586850626644283,0.3765438882799339,0.18622682238466448,0.4735154507869564,0.03960883973066769,2668.939795255661,0.9532805671208839,5840.681985540337,385.2592533407068
