run_id,timestamp,git_hash,objective,network_size,epoch,loss,euler_fb_mean,euler_fb_finite_ratio,violation_count,warning_count,exception_flag,exception_type,exception_message,lifetime_reward_mean
20260105_131431,2026-01-05T13:34:23.518654,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,0,10.244915962219238,0.2809200205507841,1.0,0,0,0,,,-0.17271770100903733
20260105_131431,2026-01-05T13:34:24.008127,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,99,3.3380186557769775,0.2798883673311866,1.0,0,0,0,,,-0.18690591122170738
20260105_131431,2026-01-05T13:34:24.505153,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,199,6.254197120666504,0.2690028734902626,1.0,0,0,0,,,-0.21074437096683465
20260105_131431,2026-01-05T13:34:24.988991,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,299,4.416926860809326,0.28830076477528566,1.0,0,0,0,,,-0.17553100905517885
20260105_131431,2026-01-05T13:34:25.474222,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,399,1.631239891052246,0.31041341653075505,1.0,0,0,0,,,-0.13006510931988374
20260105_131431,2026-01-05T13:34:25.958609,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,499,3.514869213104248,0.3123016134350746,1.0,0,0,0,,,-0.12380964232635798
20260105_131431,2026-01-05T13:34:26.437454,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,599,2.020857572555542,0.3123529785678238,1.0,0,0,0,,,-0.1237182194411783
20260105_131431,2026-01-05T13:34:26.921133,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,699,4.825484752655029,0.3075742996402732,1.0,0,0,0,,,-0.1542761030501326
20260105_131431,2026-01-05T13:34:27.400038,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,799,2.708338499069214,0.30754256579581124,1.0,0,0,0,,,-0.15439576048101047
20260105_131431,2026-01-05T13:34:27.879436,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,899,3.5988121032714844,0.2802567145725516,1.0,0,0,0,,,-0.21628999226639434
20260105_131431,2026-01-05T13:34:28.359227,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,999,1.8602873086929321,0.2803111661410185,1.0,0,0,0,,,-0.21621021488334655
20260105_131431,2026-01-05T13:34:28.867936,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,1099,3.30649995803833,0.2964264251528039,1.0,0,0,0,,,-0.18974398511228652
20260105_131431,2026-01-05T13:34:29.378867,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,1199,8.516279220581055,0.2967312431310165,1.0,0,0,0,,,-0.18916109359530114
20260105_131431,2026-01-05T13:34:29.864489,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,1299,11.576440811157227,0.2967226737869714,1.0,0,0,0,,,-0.18917607670368644
20260105_131431,2026-01-05T13:34:30.388862,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,1399,1.548040747642517,0.2618675820655881,1.0,0,0,0,,,-0.2725798196493737
20260105_131431,2026-01-05T13:34:30.895983,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,1499,1.4756258726119995,0.2615441967766674,1.0,0,0,0,,,-0.27447384970185285
20260105_131431,2026-01-05T13:34:31.565107,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,1599,1.3752518892288208,0.261569559222844,1.0,0,0,0,,,-0.27448983998220616
20260105_131431,2026-01-05T13:34:32.075584,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,1699,13.639154434204102,0.2615757594623574,1.0,0,0,0,,,-0.2744868851599561
20260105_131431,2026-01-05T13:34:32.566204,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,1799,5.9608330726623535,0.26120361162858896,1.0,0,0,0,,,-0.27431337067098976
20260105_131431,2026-01-05T13:34:33.060517,6c5a48ebebf7b83f35ca1b620494e42394d48a01,bellman,8x8,1899,4.893523216247559,0.2611922840954685,1.0,0,0,0,,,-0.2743095576469107
