run_id,timestamp,git_hash,objective,network_size,epoch,loss,euler_fb_mean,euler_fb_finite_ratio,violation_count,warning_count,exception_flag,exception_type,exception_message,lifetime_reward_mean
20260123_221112,2026-01-23T22:11:12.894702,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,0,1.8431445360183716,0.3566398749371001,1.0,0,0,0,,,-0.2946463267554882
20260123_221112,2026-01-23T22:11:13.455979,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,99,0.18658128380775452,0.48010471590736414,1.0,0,0,0,,,-0.9753617728045958
20260123_221112,2026-01-23T22:11:14.027314,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,199,0.08486337214708328,0.5085963311980595,1.0,0,0,0,,,-1.1421978784874938
20260123_221112,2026-01-23T22:11:14.598130,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,299,0.0464310497045517,0.5181430428981548,1.0,0,0,0,,,-1.142364461723942
20260123_221112,2026-01-23T22:11:15.159713,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,399,0.04209873825311661,0.510317909951118,1.0,0,0,0,,,-1.0112244670281463
20260123_221112,2026-01-23T22:11:15.718872,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,499,0.04789304733276367,0.49872255086535006,1.0,0,0,0,,,-0.859273729354175
20260123_221112,2026-01-23T22:11:16.307318,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,599,0.03441169485449791,0.4864095789020212,1.0,0,0,0,,,-0.7183291061912337
20260123_221112,2026-01-23T22:11:16.856909,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,699,0.03758011385798454,0.4740144522954506,1.0,0,0,0,,,-0.5951352396959304
20260123_221112,2026-01-23T22:11:17.653913,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,799,0.02676275745034218,0.46251639501606406,1.0,0,0,0,,,-0.4949785258917037
20260123_221112,2026-01-23T22:11:18.513570,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,899,0.025856781750917435,0.45196864382705826,1.0,0,0,0,,,-0.4151495609752718
20260123_221112,2026-01-23T22:11:19.340174,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,999,0.019706640392541885,0.4430363913394831,1.0,0,0,0,,,-0.3515874938961723
20260123_221112,2026-01-23T22:11:19.979862,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,1099,0.017822977155447006,0.435367930200955,1.0,0,0,0,,,-0.2995022301874955
20260123_221112,2026-01-23T22:11:20.838016,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,1199,0.01962917670607567,0.4282295069558313,1.0,0,0,0,,,-0.2516949026001217
20260123_221112,2026-01-23T22:11:21.499362,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,1299,0.018427342176437378,0.42092068277823275,1.0,0,0,0,,,-0.20537785398695507
20260123_221112,2026-01-23T22:11:22.048814,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,1399,0.017923234030604362,0.41291115795902444,1.0,0,0,0,,,-0.16101853353629764
20260123_221112,2026-01-23T22:11:22.598086,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,1499,0.01123778335750103,0.4047776149150741,1.0,0,0,0,,,-0.12209709691729621
20260123_221112,2026-01-23T22:11:23.199756,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,1599,0.009747040458023548,0.3944953938526305,1.0,0,0,0,,,-0.08195867376668689
20260123_221112,2026-01-23T22:11:23.785346,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,1699,0.011466210708022118,0.3845361379058886,1.0,0,0,0,,,-0.04538941688188913
20260123_221112,2026-01-23T22:11:24.330577,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,1799,0.010938593186438084,0.3720084170639166,1.0,0,0,0,,,-0.0059157936361235
20260123_221112,2026-01-23T22:11:24.918976,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,1899,0.009322056546807289,0.3614000204005424,1.0,0,0,0,,,0.026554310869154295
20260123_221112,2026-01-23T22:11:25.469526,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,1999,0.007925573736429214,0.3511465809447691,1.0,0,0,0,,,0.057234325990355425
20260123_221112,2026-01-23T22:11:26.022467,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,2099,0.007682396098971367,0.3371994128775259,1.0,0,0,0,,,0.09205951329593673
20260123_221112,2026-01-23T22:11:26.573922,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,2199,0.006339443847537041,0.32319784242761673,1.0,0,0,0,,,0.121864791618113
20260123_221112,2026-01-23T22:11:27.169282,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,2299,0.003998211119323969,0.3034878123076487,1.0,0,0,0,,,0.15565336549150421
20260123_221112,2026-01-23T22:11:27.727556,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,2399,0.004027592018246651,0.2840813382865599,1.0,0,0,0,,,0.18469116729611743
20260123_221112,2026-01-23T22:11:28.336441,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,2499,0.0045285578817129135,0.26126582741540916,1.0,0,0,0,,,0.21565597930119515
20260123_221112,2026-01-23T22:11:28.898440,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,2599,0.0034716418012976646,0.23609044812023058,1.0,0,0,0,,,0.24696498949517726
20260123_221112,2026-01-23T22:11:29.457720,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,2699,0.004041262436658144,0.22062006050593483,1.0,0,0,0,,,0.26487841539997203
20260123_221112,2026-01-23T22:11:30.019672,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,2799,0.0029129928443580866,0.2065113123266201,1.0,0,0,0,,,0.28020391098402875
20260123_221112,2026-01-23T22:11:30.579901,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,2899,0.0027866195887327194,0.19532664517195372,1.0,0,0,0,,,0.29164304783435097
20260123_221112,2026-01-23T22:11:31.120457,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,2999,0.003268372267484665,0.18298451901519003,1.0,0,0,0,,,0.30417835910809043
20260123_221112,2026-01-23T22:11:31.657257,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,3099,0.002855994738638401,0.17088363251044938,1.0,0,0,0,,,0.3161996747407334
20260123_221112,2026-01-23T22:11:32.225269,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,3199,0.002153625711798668,0.1653770582182733,1.0,0,0,0,,,0.32188628253032264
20260123_221112,2026-01-23T22:11:32.817162,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,3299,0.001953328959643841,0.15759295438465415,1.0,0,0,0,,,0.32909728608759137
20260123_221112,2026-01-23T22:11:33.353078,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,3399,0.0023600789718329906,0.14848909260000254,1.0,0,0,0,,,0.3375158576124485
20260123_221112,2026-01-23T22:11:33.891150,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,3499,0.0024928899947553873,0.14377965084268907,1.0,0,0,0,,,0.34175947381396626
20260123_221112,2026-01-23T22:11:34.421793,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,3599,0.0016431311378255486,0.14013206008222368,1.0,0,0,0,,,0.34484661769329683
20260123_221112,2026-01-23T22:11:34.959714,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,3699,0.0013663249555975199,0.13555920686995704,1.0,0,0,0,,,0.34880325817497526
20260123_221112,2026-01-23T22:11:35.504336,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,3799,0.0018111481331288815,0.133520477012853,1.0,0,0,0,,,0.350745844599023
20260123_221112,2026-01-23T22:11:36.075706,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,3899,0.0018320297822356224,0.12941107840745644,1.0,0,0,0,,,0.35415935012812266
20260123_221112,2026-01-23T22:11:36.623212,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,3999,0.0019271565834060311,0.12676861634509806,1.0,0,0,0,,,0.3561896869229608
20260123_221112,2026-01-23T22:11:37.171292,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,4099,0.00190459075383842,0.12368120862704927,1.0,0,0,0,,,0.358755515570324
20260123_221112,2026-01-23T22:11:37.722625,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,4199,0.00203402666375041,0.12199963384325202,1.0,0,0,0,,,0.36028735332117867
20260123_221112,2026-01-23T22:11:38.256365,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,4299,0.001350762089714408,0.11978622475160591,1.0,0,0,0,,,0.3620822557168426
20260123_221112,2026-01-23T22:11:38.793685,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,4399,0.0016969619318842888,0.11721786934504962,1.0,0,0,0,,,0.3640099690126267
20260123_221112,2026-01-23T22:11:39.326917,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,4499,0.0019740285351872444,0.11488305699643206,1.0,0,0,0,,,0.36562832709504334
20260123_221112,2026-01-23T22:11:39.871368,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,4599,0.0013821679167449474,0.11344666322718694,1.0,0,0,0,,,0.3667317344485216
20260123_221112,2026-01-23T22:11:40.421679,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,4699,0.0020576592069119215,0.11109270287801337,1.0,0,0,0,,,0.3682995152323677
20260123_221112,2026-01-23T22:11:40.968052,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,4799,0.0010819248855113983,0.1109826310124663,1.0,0,0,0,,,0.36888230330347366
20260123_221112,2026-01-23T22:11:41.505062,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,4899,0.00113005714956671,0.10948139198623721,1.0,0,0,0,,,0.36999385104770555
20260123_221112,2026-01-23T22:11:42.038299,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,4999,0.0014071217738091946,0.11008078966820904,1.0,0,0,0,,,0.3699584233170375
20260123_221112,2026-01-23T22:11:42.575025,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,5099,0.0017222429160028696,0.10563814507470852,1.0,0,0,0,,,0.3726694936396145
20260123_221112,2026-01-23T22:11:43.108659,15cedc7a9730972b927f01fdf3bc98946ca1b50a,euler,8x8,5199,0.000947775668464601,0.10556358338276368,1.0,0,0,0,,,0.37299229188733896
