l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
1,0.10852207780896167,-0.9943653683746682,0.01113648782446841,0.3925055694064698,0.20558542826316234,0.010512424217502444,1861.2568578720093,0.9999993291910105,51.47053916546896,1.018158945618032
5,0.5886564006936008,0.25506631064603874,0.2056249282272613,0.2628734874339823,0.31148153394856715,0.02085143610178321,44.58851504325867,0.9999987719690097,257.82944947200684,5.0209245971365215
10,1.2563222311459696,0.4554707765465426,0.22241195813213888,0.2528793500016595,0.3232093940930284,0.02280597197732644,46.95428109169006,0.9999990094339918,516.0973521246814,11.554502653434755
50,5.999708442944217,0.2943961916165036,0.24693430691214746,0.24322693681091875,0.34666770485449755,0.029926966037952356,66.24037313461304,0.9999993727738712,2596.776276158921,58.14110816137853
100,10.264302774916374,0.6424873576509703,0.25920693758417834,0.23404125958089708,0.3524771745024893,0.02966019055030541,83.88777875900269,0.9999989606694372,5115.1097567265215,87.76022131075342
500,57.08184694904584,0.5969758196043057,0.26292379078745687,0.23506457466962707,0.3593560634764055,0.03460945831804245,292.3899359703064,0.9999714758135443,23381.964831473488,497.6148771875069
1000,73.76829359334975,0.2103631452603365,0.27313742694659404,0.22940939471483632,0.3666277031310059,0.03681887889676566,725.8851871490479,0.9974569869959888,34294.73170832954,720.9744893095151
