l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
1,0.0031172786668326323,0.9999883622799127,0.02270351665307735,0.3847631529591272,0.21206132328803007,0.011135754104880121,44.16503095626831,0.9999949910845669,0.0012162685637784273,4.8949518198257e-05
5,0.7358596412011118,0.10900899500994969,0.5321463012437442,0.07997227257369466,0.5564791847015594,0.04831159941580542,49.90306210517883,0.9942851898760218,56.29606997535582,7.813691776229172
10,1.3051363829517229,0.21738758860768795,0.4087753351676837,0.1401101628427122,0.4510866027965694,0.037767526945959654,50.06308197975159,0.997328805360281,125.24910023786826,15.442758597238429
50,6.679133530047973,0.23530721415166442,0.4766247723693142,0.10498884037904774,0.5035762569583357,0.04915993428594321,69.55514907836914,0.9968164279710192,560.7306204702132,70.31947850473385
100,13.395944455896176,0.0216217285753872,0.4665091264007619,0.1010061684091463,0.48368639487448495,0.04389536044822691,92.16199517250061,0.9968354620459121,1295.3593462904705,169.51268260389955
500,44.29679938340571,0.33095555966870677,0.568032399119826,0.07473055168213809,0.603200024631262,0.06518675403093221,281.75558710098267,0.9757980898318621,5496.569934083897,410.8864878047498
1000,81.31424930790148,0.2986927875159562,0.5282941665089069,0.09960818684650795,0.5740420458692707,0.07095116606088726,707.7363748550415,0.9774674124884847,9184.42655941397,744.2685362882015
