epoch,objective_train,test_euler_residual_mean,test_euler_residual_p50,test_euler_residual_p90,test_lifetime_reward_mean,aggregate_capital_mean,aggregate_capital_std,wall_time_sec,seed,net_size,objective_name,num_agents
100,0.7992303371429443,0.6565111687528021,0.6568541877753116,0.6897082534809331,-8.75337553403198,0.44193841753448904,0.01776401721796528,0.13936471939086914,42,64,bellman,1
200,0.747780442237854,0.6458566392171381,0.6431340854197873,0.6852351769608221,-8.329106835188796,0.4493444679065138,0.01897948940010247,0.3372538089752197,42,64,bellman,1
300,0.6640189290046692,0.6535552815587147,0.6504175074452294,0.6865991748312034,-8.634401107133511,0.4440612599330981,0.016716260497442532,0.535179615020752,42,64,bellman,1
400,0.6794353723526001,0.6544859911193346,0.6562992050117586,0.6868369687860962,-8.670162834221353,0.4434686337355227,0.01771683853210957,0.7427487373352051,42,64,bellman,1
500,0.5715183615684509,0.6526987882907671,0.6522489277881116,0.6894821359224461,-8.599996875912721,0.44469525342421834,0.019078941639373743,0.9443416595458984,42,64,bellman,1
600,0.5252194404602051,0.6606544849958004,0.6608722491526007,0.6960788014448551,-8.91419796555433,0.4392369498643725,0.017785441511669095,1.1381776332855225,42,64,bellman,1
700,0.46774691343307495,0.6528952203828904,0.6529244337903162,0.6883085967280875,-8.603612944606308,0.44467469269398063,0.020078956553477054,1.3332626819610596,42,64,bellman,1
800,0.4277293086051941,0.6572292242337043,0.6571899888683852,0.6943577995846264,-8.777138379043354,0.4416789568117041,0.01984180882781103,1.5328967571258545,42,64,bellman,1
900,0.37941864132881165,0.6447381980868532,0.6459161964992606,0.672760799424215,-8.290716491034052,0.44991345125564247,0.015581337642717442,1.730409860610962,42,64,bellman,1
1000,0.4020392894744873,0.6436450227149089,0.6409357067905366,0.6808325546999172,-8.239057861997226,0.45096719898486604,0.018228513098821314,1.9276816844940186,42,64,bellman,1
1100,0.31134703755378723,0.6503721271114502,0.6528514861006613,0.6839893412746959,-8.504810762707432,0.4463904011472272,0.020098599550224153,2.124041795730591,42,64,bellman,1
1200,0.3730256259441376,0.6550543254183894,0.6547670244345432,0.6940857836225065,-8.684681996173943,0.44337754811571944,0.021640796477109942,2.321115732192993,42,64,bellman,1
1300,0.26270344853401184,0.6444132577035874,0.6465109668844744,0.684418525395431,-8.263765018838225,0.45066611365389275,0.02140169508216037,2.517864942550659,42,64,bellman,1
1400,0.29105713963508606,0.6397107686840431,0.6367685112969532,0.6738141938826369,-8.080480294315752,0.45376692718325395,0.017439651947368774,2.7246615886688232,42,64,bellman,1
1500,0.21844033896923065,0.6527037266346363,0.6489690484002861,0.6987112199781123,-8.591854244574616,0.4449383403047885,0.021432316298748318,2.925090789794922,42,64,bellman,1
1600,0.1859370470046997,0.6533351650440818,0.6531700782550167,0.6904620704084412,-8.621658551397744,0.44437800812468004,0.019841108414904763,3.1216928958892822,42,64,bellman,1
1700,0.18895304203033447,0.6601371554282953,0.6555219692223437,0.6981552410613425,-8.88926187228395,0.4397298560687073,0.018390380968784963,3.319805860519409,42,64,bellman,1
1800,0.1817549169063568,0.6436876778376593,0.640282892959833,0.6825881580410309,-8.237768043646508,0.4510000490318318,0.0199364895491154,3.516143798828125,42,64,bellman,1
1900,0.1823992282152176,0.6485927623603572,0.6453067148812974,0.6999251543264524,-8.421518079847012,0.4480313353432564,0.024266836180385176,3.7129437923431396,42,64,bellman,1
2000,0.17416027188301086,0.6492857473140202,0.6464615942542904,0.6906901344783465,-8.460367369851458,0.44713525464982606,0.019968451357728807,3.9092767238616943,42,64,bellman,1
2100,0.1165006160736084,0.6529764663858331,0.6510032831286636,0.6861826526202739,-8.613503648479297,0.4443800506577198,0.017307893564896887,4.104893922805786,42,64,bellman,1
2200,0.10394824296236038,0.655634730445613,0.6564380490756141,0.6976944443827944,-8.707475941712026,0.4429719746671332,0.021591029689914245,4.304733753204346,42,64,bellman,1
2300,0.09519365429878235,0.653466701986277,0.6518450376229517,0.6956728396855336,-8.626120724636092,0.44430574829323605,0.020187217275119573,4.500996828079224,42,64,bellman,1
2400,0.0833115205168724,0.6586782660052147,0.6617964233744134,0.6858786709076293,-8.840081278913907,0.44046844986685074,0.016415347197284165,4.708970546722412,42,64,bellman,1
2500,0.08507328480482101,0.6511517744380517,0.6542446100241313,0.6840886680824577,-8.539270703540632,0.44570328321460567,0.01807478633370835,4.91367769241333,42,64,bellman,1
2600,0.07113555073738098,0.6506212252189227,0.6473576868801003,0.6923611134526594,-8.513205706665225,0.4462579181507495,0.020193189076599467,5.109088659286499,42,64,bellman,1
2700,0.059308405965566635,0.6564083264093187,0.6501818711675873,0.7041909153447796,-8.731974653278934,0.4426507188324988,0.02289316720426948,5.30474066734314,42,64,bellman,1
2800,0.06239911913871765,0.6480053884550072,0.6453721327670519,0.68486079662094,-8.415382919121752,0.44785161547365177,0.01860498936200491,5.505709648132324,42,64,bellman,1
2900,0.06908035278320312,0.6497146568412864,0.6524817947682398,0.6832304342426138,-8.481355840753627,0.4467735886858652,0.019124284755292927,5.703531742095947,42,64,bellman,1
3000,0.03980937972664833,0.6491365803651312,0.646021530500414,0.6846477107980258,-8.458091933105164,0.4471232984904964,0.01806999354999875,5.901059865951538,42,64,bellman,1
100,1.752676010131836,0.31786453276627524,0.30958248235155716,0.413611620620265,-3.580071670758513,4.20296454698947,0.23818937769315776,0.1534280776977539,42,64,bellman,5
200,1.7323492765426636,0.3224115787929135,0.31477270874085406,0.4162562620167254,-3.878083707691272,4.151299387416156,0.20415181129778684,0.3724939823150635,42,64,bellman,5
300,1.6615190505981445,0.3195917454267806,0.3125445807777294,0.41180346203405627,-3.6676968146483415,4.184931762243928,0.20508382220857896,0.6298980712890625,42,64,bellman,5
400,1.5403296947479248,0.32436933530600226,0.3166068885827422,0.421884053517697,-4.0023983757897765,4.141855112353045,0.20136033421436472,0.8522341251373291,42,64,bellman,5
500,1.4758142232894897,0.32056715895418714,0.3127323719697108,0.4146842585610505,-3.7647710460957793,4.176371540054694,0.22301236598672194,1.0938479900360107,42,64,bellman,5
600,1.3729610443115234,0.32500819354513316,0.32075486397101116,0.4193392453074115,-4.0701054849761915,4.11086563748856,0.19088980397398017,1.3159918785095215,42,64,bellman,5
700,1.3505606651306152,0.32780743577353316,0.3199972248847065,0.4241736185176514,-4.3572355309027735,4.075445442419117,0.17547344026432116,1.536895990371704,42,64,bellman,5
800,1.317495346069336,0.32162863999891056,0.314862911356085,0.41674359404087685,-3.9102340337802426,4.159575783943016,0.21970575300423287,1.7593309879302979,42,64,bellman,5
900,1.3019437789916992,0.3242128346324237,0.3193844492773037,0.4191794795551686,-4.021070768393825,4.12644896119133,0.22038985201642572,1.9839849472045898,42,64,bellman,5
