epoch,objective_train,test_euler_residual_mean,test_euler_residual_p50,test_euler_residual_p90,test_lifetime_reward_mean,aggregate_capital_mean,aggregate_capital_std,wall_time_sec,seed,net_size,objective_name,num_agents
400,0.004155083559453487,0.07172989823591866,0.07036970140384802,0.11031859187414098,4.22246571202591,120.44610694282426,6.688899658795024,1.323918104171753,42,64,euler,50
500,0.0037899259477853775,0.06751701865552028,0.06616772756175504,0.10529065458808869,3.732057483557294,122.73198647772767,6.51496215078778,1.6941211223602295,42,64,euler,50
600,0.004010441247373819,0.06248087928146176,0.06125514402458809,0.098691456360921,3.992001593129395,127.93154832502478,5.948202524398109,2.031947135925293,42,64,euler,50
700,0.00233631138689816,0.05394885261711671,0.05276901588434457,0.08768098841360222,4.6570107704340336,138.6044557596165,8.152143385520926,2.3658580780029297,42,64,euler,50
800,0.00460843788459897,0.04458219391845559,0.043357868894366824,0.07563964440684469,5.063195835075748,151.40102882960787,7.323224745329675,2.7001430988311768,42,64,euler,50
900,0.002080202102661133,0.040521455575567036,0.03933195708733234,0.06951675537421653,5.938215734217409,160.34167798551692,7.1049561314645775,3.027757167816162,42,64,euler,50
1000,0.001655978849157691,0.03890490302871798,0.03754718498543397,0.06756664088548678,5.816150096378844,162.77229089325087,8.384175186602167,3.3762221336364746,42,64,euler,50
1100,0.0016934139421209693,0.03755713444864152,0.036205057832684795,0.06597632799095575,5.825483029953177,164.7952078851749,8.39156675894159,3.7475860118865967,42,64,euler,50
1200,0.0020821448415517807,0.03516112892791854,0.03375191680749151,0.062088045312271516,6.20451061223594,170.66607453471704,9.808017661752126,4.107802152633667,42,64,euler,50
1300,0.0024822375271469355,0.03534371875187639,0.033866287952843355,0.06268051709678751,5.930756190146853,169.40238267443155,11.935225412395265,4.425990104675293,42,64,euler,50
1400,0.0010591665050014853,0.03271871988507657,0.030939612227890156,0.05949785094549079,5.800030846635594,173.49263788069953,9.662442685151676,4.7496421337127686,42,64,euler,50
1500,0.0009410302736796439,0.029213554128250364,0.02735767152836044,0.05424850187251794,6.379548663032571,183.17009787987965,7.551500613888694,5.069348096847534,42,64,euler,50
1600,0.0006929101655259728,0.027112374793216352,0.02502149980071533,0.051324147743197664,6.3687492738059195,188.4513928263026,11.124480015106329,5.409996032714844,42,64,euler,50
1700,0.0008165043545886874,0.025860638374328847,0.02378542610742379,0.048982031798927385,6.703348357839065,193.20076589031746,9.16612416337033,5.7335522174835205,42,64,euler,50
1800,0.0008353498997166753,0.02401754779054,0.021990772250771007,0.045927370858572875,6.963958622558938,199.12086736328354,7.78837751116816,6.074637174606323,42,64,euler,50
1900,0.0006325971335172653,0.02245207104669661,0.020208831889762358,0.043616158703260396,7.023628258772558,205.031040733769,9.237166978550826,6.4065070152282715,42,64,euler,50
2000,0.000751016428694129,0.01978531388670963,0.01727727786611505,0.03958972869627487,6.886336628423418,213.8434668485652,10.670370463075978,6.74063515663147,42,64,euler,50
2100,0.0006785034784115851,0.018626973690576813,0.016239524569439223,0.03734434644954335,6.861997131081427,217.9609106093307,8.654453468918025,7.081829309463501,42,64,euler,50
2200,0.0003038762370124459,0.017776315066120752,0.015304383611756012,0.03601949949955404,6.992475659276325,224.07719638834806,11.749764905454866,7.406396150588989,42,64,euler,50
2300,0.0006348907481878996,0.017317517225688688,0.014705898281205998,0.03554369515724215,7.13241107985223,227.7787754624897,14.149295061992452,7.729462146759033,42,64,euler,50
2400,0.00037284125573933125,0.016138980880879724,0.013570838746390701,0.033136821105996424,7.298039553470793,236.9875068066363,12.58891881331346,8.053822994232178,42,64,euler,50
2500,0.0002529492776375264,0.015541551735459786,0.013082766000357682,0.03209538865697138,7.8352580245575645,245.9537814464338,13.954655185001208,8.373768091201782,42,64,euler,50
2600,0.00031476625008508563,0.013927318324997731,0.01164824010258958,0.02890977976635215,8.189461136040848,262.8376050444219,14.414452317211262,8.694967031478882,42,64,euler,50
2700,0.00018405794980935752,0.014002811021213339,0.011527136885583822,0.029172317626708976,7.839633205288222,265.4632300113751,11.280384614961068,9.01744794845581,42,64,euler,50
2800,0.0002951547794509679,0.013970737860920976,0.011421607324868188,0.02916025553623946,7.937250016440406,284.24521770311316,15.98378456566986,9.341507196426392,42,64,euler,50
2900,0.0005983031587675214,0.013863060464246135,0.011316180765457373,0.028956348092480138,8.533700811877505,305.74677941666505,17.754773828990846,9.710422039031982,42,64,euler,50
3000,0.00033084896858781576,0.014600669021957438,0.011794635662736364,0.03075657201950201,8.95339813721814,335.56759556821464,17.724831481680813,10.061317205429077,42,64,euler,50
100,0.011293625459074974,0.14854414789446865,0.14494952938569305,0.20775091599060508,1.0840703366238578,151.91380041524562,8.092810322433667,0.23110294342041016,42,64,euler,100
200,0.009635478258132935,0.11862903527046458,0.11615158765800909,0.17038619282567075,1.6632550293741613,175.61306908154,10.671965517602784,0.64662766456604,42,64,euler,100
300,0.006592532619833946,0.09802013700291712,0.0960588127111835,0.14378940518953187,2.3661409063646013,197.6682947870752,9.975683197105267,1.0952179431915283,42,64,euler,100
400,0.006300582550466061,0.08358353408987808,0.08204502679269943,0.12489081319381475,3.3140664096374595,219.02774648183268,9.71160564990053,1.5142369270324707,42,64,euler,100
500,0.004135339520871639,0.07276680298393784,0.07118354517113801,0.11168679685387607,3.585662428355204,236.07495073593734,11.116904407007267,1.9624218940734863,42,64,euler,100
600,0.004180990159511566,0.07084944294542717,0.06946926143199572,0.10934326573094087,3.5803004259808118,238.9001424051602,10.211080811289545,2.4567606449127197,42,64,euler,100
700,0.0029714424163103104,0.0637146415569253,0.06257374113392045,0.10002651388380185,4.260453003062772,254.90179164432956,11.430367276415362,2.8990228176116943,42,64,euler,100
800,0.0028124437667429447,0.05929643445720525,0.05818691421152955,0.09442008000636212,4.479131892964935,264.718296262463,12.483433826545221,3.3129968643188477,42,64,euler,100
900,0.0026147612370550632,0.055505366391503275,0.05420232408804504,0.08934227032225632,4.7750264867692715,274.35176444323895,13.560105945048551,3.7268707752227783,42,64,euler,100
1000,0.002387897577136755,0.051112862256179566,0.04978083285077389,0.0845630206827601,4.174060432958989,280.50782516937505,16.50261146073612,4.145761728286743,42,64,euler,100
1100,0.002309038769453764,0.05398815131409928,0.052784535409792055,0.088188216240107,4.4247604017794115,275.5541554760116,12.86706645780368,4.564966917037964,42,64,euler,100
