objective,l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
lifetime_reward,1,0.0812201319760267,0.966823592864841,0.02410599408812386,0.38379367860929686,0.2123557004647578,0.011161019711370698,147.41244387626648,0.9999993507020326,5.434442961779054,0.23238666599920046
lifetime_reward,5,0.4531257652746979,0.8301536200625576,0.804911148000891,0.0005643879887747114,0.9986640912967979,0.05552590294355715,152.7040297985077,0.9920128541226296,38.66642214186152,2.085316371801234
lifetime_reward,10,1.0215621310722618,0.9330379482362416,0.9018061728529381,0.00037992215995048297,0.9991259140836108,0.10883846978606697,375.62529826164246,0.9965766722182638,87.03067416690463,4.199424979649069
lifetime_reward,50,5.241152533441177,0.9966454857005984,0.9801988527853811,8.911018859251723e-05,0.9997963170544135,0.5154570959198514,166.58060693740845,0.9998077283453538,508.64078838053535,19.782646942247098
lifetime_reward,100,7.801277054116309,0.9137943346206596,0.39738247017231987,0.20225782292219524,0.5148138462393383,0.05460040845514847,194.08724403381348,0.9922974381332633,520.2582719219644,26.857962050737306
lifetime_reward,500,11.920464052700208,0.9988169925874251,0.11029592388892695,0.3265893322701289,0.2594379748869812,0.016667630268101054,2631.6568388938904,0.9765513084357333,55.59741159426638,3.3597996975808857
lifetime_reward,1000,68.76101527691493,0.9567806186924499,0.09220349199555677,0.33839983227935266,0.24912785660410766,0.015336847254565102,5614.343330860138,0.9999994032334233,5528.09932156556,190.8509513708233
euler,1,0.06513751460427585,0.9798761823342627,0.02635193503255162,0.38227903250549633,0.21354259671989617,0.011290088010228901,6.37398886680603,0.9999993649991445,2.6739304826224357,0.12492294065204146
euler,5,0.3395360443858743,0.97656595049157,0.09099490166221558,0.3378060498265839,0.24591896005273972,0.014765056008734182,6.841285943984985,0.9957235995041357,12.854873034545806,0.6389853466888058
euler,10,0.7347325628801078,0.9813923017081836,0.0986128655603522,0.3335030480219285,0.25141417502699864,0.015550442568067754,7.561248064041138,0.9967922797819146,26.711769514461793,1.345100640840889
euler,50,4.801715536277189,0.9302508463873933,0.09747173243545659,0.33500578725413827,0.2521745856559242,0.015708207190749758,10.324518203735352,0.9946465774913502,338.54178437473706,16.718008391085714
euler,100,10.003610612449569,0.7914309736575904,0.10939472324369759,0.32696108566824367,0.25872079155800987,0.016418003031478424,13.16770887374878,0.995145448997911,722.7917389950971,56.84615889209585
euler,500,38.23794882643322,0.9766598008677306,0.09743883962264754,0.3349868115020631,0.25214814655391676,0.01578041616807363,66.82894587516785,0.9999982604822186,1780.6042136067215,82.98679860699609
euler,1000,57.51301837515563,0.9710869879714146,0.09637451211407067,0.3356792159088094,0.25148778464775084,0.015613788518568246,156.02562999725342,0.9999994183783295,3212.148273235916,114.6115103675765
bellman,1,0.03357969505442358,0.9959017402398471,0.02462888556798104,0.38341347023913047,0.21270260717247222,0.011232778837629043,6.036955833435059,0.9999996850891176,0.44173178287522064,0.019269859524147802
bellman,5,0.22995878746724233,0.9913190433548063,0.0953167176930334,0.334734338591948,0.24824067132453356,0.014952154961584104,6.830933094024658,0.9931645213256161,4.1466256001600685,0.21118721385277542
bellman,10,0.9443141520649193,0.9449025501460362,0.09387268529499715,0.33670731786261304,0.24885991156463363,0.015223104121095668,7.483994007110596,0.9942207358057588,52.6433725287958,2.905710061191671
bellman,50,4.251085276482921,0.9568938790533975,0.09718385611571678,0.3350842360809646,0.2517987376349949,0.015579067778416387,10.284348011016846,0.9930363301037397,202.05147484620088,11.564817716478775
bellman,100,4.74048572610616,0.97767342993571,0.10394000303393147,0.3304747125888763,0.2554590158455068,0.016109827265114996,12.991039991378784,0.9830946925410124,137.2074160983031,6.3991119329432244
bellman,500,21.167554481799794,0.9932732813550641,0.1071857841409265,0.32859923354925696,0.25764834888806615,0.0164369878498637,53.42254185676575,0.9850249647348723,298.0713308842667,17.040748466009973
bellman,1000,32.24143444183121,0.9878663104014802,0.10559922780508901,0.3296671585362314,0.25672707308696385,0.016236971023703518,150.27661609649658,0.9706134563496001,568.4705653679695,25.563685460289467
