l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
1,0.0779262416012784,0.9831453431658157,0.02281983662185283,0.3847539843283125,0.21180411672667193,0.011117923495548495,126.77595806121826,0.9999859249674556,5.140623730232424,0.20879704745379174
5,0.4179624834791813,0.9594233896741781,0.15116711876305144,0.3012144526659146,0.28578843719777086,0.0190873444393833,136.50268125534058,0.996540468944467,24.31408053510983,1.2122068554472685
10,0.9058091511749281,0.9754263629093842,0.15769496106274294,0.29802253645510085,0.2905120407711811,0.02116888817287822,139.20652890205383,0.99717461195943,52.56963798102479,2.610639132853779
50,4.916511763091999,0.9676260389107966,0.34002780051366943,0.20899049496669572,0.44614576871698025,0.04050700280686084,156.49147176742554,0.9977434586644202,274.71232317687367,18.1574393774048
100,7.14244096118679,0.8743041095021366,0.3749092520946049,0.17860079929389794,0.4581708372638006,0.03516687823751199,189.3193919658661,0.9909821022826291,525.6483932626776,27.66453882966217
500,44.254204188472826,0.7397149499228229,0.273485419514897,0.23871859261273418,0.38303227499632725,0.036849483463383334,997.5084929466248,0.9724529114796335,2560.137298013323,162.97435065845863
1000,69.16333357500375,0.49928904829015436,0.33456420197629977,0.20579766988944964,0.4342583647907056,0.03662059572281588,2725.3238241672516,0.9359223441787522,5937.872761011865,337.504050343054
