run_id,timestamp,git_hash,objective,network_size,epoch,loss,euler_fb_mean,euler_fb_finite_ratio,violation_count,warning_count,exception_flag,exception_type,exception_message,lifetime_reward_mean
20260123_224946,2026-01-23T22:49:47.444847,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,0,10.604513168334961,0.5840938650202588,1.0,453539,0,0,,,
20260123_224946,2026-01-23T22:49:48.046003,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,99,3.010470390319824,0.572808701719041,1.0,241508,0,0,,,
20260123_224946,2026-01-23T22:49:48.663580,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,199,4.320456027984619,0.34825508544032346,1.0,0,0,0,,,-0.23171769798383682
20260123_224946,2026-01-23T22:49:49.257610,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,299,2.3464772701263428,0.2549532311999064,1.0,0,0,0,,,0.06898354598717911
20260123_224946,2026-01-23T22:49:49.859759,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,399,0.6341332793235779,0.20371363886220933,1.0,0,0,0,,,0.14488140087437948
20260123_224946,2026-01-23T22:49:50.465614,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,499,1.7422488927841187,0.1661705752263515,1.0,0,0,0,,,0.17656916407043288
20260123_224946,2026-01-23T22:49:51.127931,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,599,0.9525010585784912,0.13528393034850525,1.0,0,0,0,,,0.19625310000370008
20260123_224946,2026-01-23T22:49:51.762469,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,699,2.059218406677246,0.0850223112266758,1.0,0,0,0,,,0.21432549007073623
20260123_224946,2026-01-23T22:49:52.365831,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,799,0.9260721206665039,0.03060326095604978,1.0,0,0,0,,,0.23037689453834306
20260123_224946,2026-01-23T22:49:53.018485,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,899,1.0616800785064697,0.004503206658791896,1.0,0,0,0,,,0.2451952359245702
20260123_224946,2026-01-23T22:49:53.681469,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,999,0.32277631759643555,0.0004099266917000932,1.0,0,0,0,,,0.25689313956592386
20260123_224946,2026-01-23T22:49:54.530629,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,1099,0.7770372629165649,0.0002084781781741185,1.0,0,0,0,,,0.2606939748687763
20260123_224946,2026-01-23T22:49:55.349187,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,1199,2.42895245552063,0.00019226749955123524,1.0,0,0,0,,,0.25174869285168244
20260123_224946,2026-01-23T22:49:56.008923,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,1299,0.8404529094696045,0.0014822027420814266,1.0,566,0,0,,,0.2170365151431919
20260123_224946,2026-01-23T22:49:56.676919,15cedc7a9730972b927f01fdf3bc98946ca1b50a,bellman,8x8,1399,0.15367263555526733,0.04504434866797965,1.0,33584,0,0,,,0.04159155511452875
