l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
1,0.09507855001011406,0.9581960834879832,0.027831001134284383,0.38138772768825463,0.2142976781599677,0.011339606411943919,11.246432065963745,0.99999800998428,7.4967104631518895,0.37124603321966765
5,0.8380772036430598,0.03606059578203419,0.06047391161839455,0.3584037817068185,0.2304105741948762,0.012628097331934957,11.943596839904785,0.999998888597731,254.60929999699331,8.20836423978643
10,1.881370655802688,0.4886618218196706,0.06410250442161969,0.356425460496271,0.23237085421579198,0.013283459442602086,12.774712085723877,0.9999990659510833,505.02898766958884,19.588623308290135
50,9.176445729880625,0.7831474781100866,0.07119803009102621,0.35230426164844547,0.23746067177660582,0.013904001774491968,16.71857714653015,0.9999930181454448,2328.9749516247066,95.35543985995349
100,14.600026366116332,0.7284486070703512,0.07040557510078504,0.35242018830004923,0.2365334366632205,0.013767999504119681,21.247968912124634,0.9999946799843307,4831.069857602592,142.0122220716857
500,86.03846175698749,0.8249021650115179,0.06945372988284748,0.35338408914413466,0.23667106676962224,0.01393190329010568,85.72150182723999,0.9999984255153351,24072.732052483036,856.6266820216231
1000,107.35426832056787,0.07967005700075014,0.09429987034891152,0.33652657415223425,0.2491583890907421,0.015192104363933288,214.66421604156494,0.9938266989944454,25513.985115862386,1267.4474700143514
