epoch,objective_train,test_euler_residual_mean,test_euler_residual_p50,test_euler_residual_p90,test_euler_residual_max,test_lifetime_reward_mean,wall_time_sec,seed,net_size,objective_name
0,0.9620821475982666,0.05854958989250008,0.047869324684143066,0.12305834889411926,0.4183856248855591,-0.7289575250875193,0.08404898643493652,42,8,lifetime_reward
99,0.35474127531051636,0.15047599371253453,0.11825864017009735,0.28773810267448424,2.392073154449463,-0.0594999716833461,1.915112018585205,42,8,lifetime_reward
199,-0.4798491895198822,0.09447800774234566,0.08552492409944534,0.16044979393482206,1.0101697444915771,0.1664959468799585,3.7530999183654785,42,8,lifetime_reward
299,0.08404102921485901,0.0871246203379269,0.078394815325737,0.15349680632352827,1.0419480800628662,0.27046410413865835,5.642750978469849,42,8,lifetime_reward
399,-0.19447284936904907,0.08402913310666009,0.0713835135102272,0.17044956684112547,1.0271897315979004,0.31650469126776226,7.624752044677734,42,8,lifetime_reward
499,-0.22525212168693542,0.07847955187583466,0.0645432397723198,0.16941775679588317,0.9145800471305847,0.3381263624990989,9.594851016998291,42,8,lifetime_reward
599,-0.07646289467811584,0.07088257852434253,0.05823797732591629,0.15571965575218197,0.7505041360855103,0.350621211713627,11.57007884979248,42,8,lifetime_reward
699,-0.5311733484268188,0.0666944247779793,0.052729278802871704,0.15203554928302765,0.672067403793335,0.3599981876598428,13.540868997573853,42,8,lifetime_reward
799,-0.19085749983787537,0.05999136309970709,0.049239397048950195,0.13470227420330044,0.55855393409729,0.36723573327780873,15.534768104553223,42,8,lifetime_reward
899,-0.4891100227832794,0.05712542388853763,0.04535847529768944,0.1320350527763366,0.5871855616569519,0.3735823718151416,17.436048984527588,42,8,lifetime_reward
999,-0.42768481373786926,0.05166973776545092,0.04280269891023636,0.11594323366880417,0.5355661511421204,0.37898418505939047,19.316678047180176,42,8,lifetime_reward
1099,-0.35348373651504517,0.04908733632625626,0.04039899259805679,0.11055139899253841,0.5090360641479492,0.38375031175791086,21.15996503829956,42,8,lifetime_reward
1199,-0.4264594614505768,0.047313188954258296,0.03824488818645477,0.10775581896305084,0.5291996002197266,0.3880856930504598,23.033268928527832,42,8,lifetime_reward
