epoch,objective_train,test_euler_residual_mean,test_euler_residual_p50,test_euler_residual_p90,test_euler_residual_max,test_lifetime_reward_mean,wall_time_sec,seed,net_size,objective_name
0,21.1785831451416,,,,,-inf,0.0019788742065429688,42,8,bellman
99,7.071203708648682,,,,,-inf,0.48267698287963867,42,8,bellman
199,14.306641578674316,,,,,-inf,0.9526560306549072,42,8,bellman
299,10.567802429199219,,,,,-inf,1.4134838581085205,42,8,bellman
399,4.77207088470459,,,,,-inf,1.8798370361328125,42,8,bellman
499,11.622035026550293,,,,,-inf,2.3481481075286865,42,8,bellman
599,7.661276340484619,,,,,-inf,2.8136110305786133,42,8,bellman
699,15.767938613891602,,,,,-inf,3.2952568531036377,42,8,bellman
799,8.590749740600586,,,,,-inf,3.753156900405884,42,8,bellman
899,10.026564598083496,,,,,-inf,4.222218990325928,42,8,bellman
999,5.018375873565674,,,,,-inf,4.699673891067505,42,8,bellman
1099,8.680814743041992,,,,,-inf,5.161926031112671,42,8,bellman
1199,21.826602935791016,,,,,-inf,5.6642608642578125,42,8,bellman
1299,13.106192588806152,,,,,-inf,6.1460959911346436,42,8,bellman
1399,3.6878371238708496,,,,,-inf,6.61241888999939,42,8,bellman
1499,3.5547304153442383,,,,,-inf,7.105433940887451,42,8,bellman
1599,2.5276715755462646,,,,,-inf,7.575803995132446,42,8,bellman
1699,4.117230415344238,,,,,-inf,8.101890802383423,42,8,bellman
1799,12.479718208312988,,,,,-inf,8.562758922576904,42,8,bellman
1899,10.826478004455566,,,,,-inf,9.021136045455933,42,8,bellman
1999,5.129424571990967,,,,,-inf,9.479418992996216,42,8,bellman
2099,23.63431167602539,,,,,-inf,9.937875032424927,42,8,bellman
2199,11.483510971069336,,,,,-inf,10.3943510055542,42,8,bellman
2299,1.9412955045700073,,,,,-inf,10.854683876037598,42,8,bellman
2399,3.727564811706543,,,,,-inf,11.344974994659424,42,8,bellman
2499,11.040839195251465,,,,,-inf,11.91908311843872,42,8,bellman
2599,7.390988826751709,,,,,-inf,12.394493103027344,42,8,bellman
2699,12.118890762329102,,,,,-inf,12.8662109375,42,8,bellman
2799,18.430133819580078,,,,,-inf,13.335769891738892,42,8,bellman
2899,3.6762325763702393,,,,,-inf,13.795960903167725,42,8,bellman
2999,10.528414726257324,,,,,-inf,14.266349792480469,42,8,bellman
3099,14.586225509643555,,,,,-inf,14.724432945251465,42,8,bellman
3199,3.941802978515625,,,,,-inf,15.177968978881836,42,8,bellman
3299,7.981682300567627,,,,,-inf,15.641350030899048,42,8,bellman
3399,6.315948009490967,,,,,-inf,16.114667892456055,42,8,bellman
3499,8.817042350769043,,,,,-inf,16.58487296104431,42,8,bellman
3599,9.720907211303711,,,,,-inf,17.051903009414673,42,8,bellman
3699,3.2321856021881104,,,,,-inf,17.512698888778687,42,8,bellman
3799,11.07175064086914,,,,,-inf,18.014677047729492,42,8,bellman
3899,7.075826168060303,,,,,-inf,18.487973928451538,42,8,bellman
3999,9.771997451782227,,,,,-inf,18.94695782661438,42,8,bellman
4099,8.9390230178833,,,,,-inf,19.408298015594482,42,8,bellman
4199,10.7566499710083,,,,,-inf,19.879251956939697,42,8,bellman
4299,7.254791259765625,,,,,-inf,20.389758110046387,42,8,bellman
4399,5.108445167541504,,,,,-inf,20.855597972869873,42,8,bellman
4499,11.574586868286133,,,,,-inf,21.321497917175293,42,8,bellman
4599,2.5023021697998047,,,,,-inf,21.785727977752686,42,8,bellman
4699,2.282670259475708,,,,,-inf,22.26176381111145,42,8,bellman
4799,5.346551895141602,,,,,-inf,22.738034963607788,42,8,bellman
4899,2.7867214679718018,,,,,-inf,23.239126920700073,42,8,bellman
4999,3.160994529724121,,,,,-inf,23.70796799659729,42,8,bellman
5099,4.892135143280029,,,,,-inf,24.16966199874878,42,8,bellman
5199,3.3779735565185547,,,,,-inf,24.629163026809692,42,8,bellman
5299,1.8528488874435425,,,,,-inf,25.08678412437439,42,8,bellman
5399,8.309725761413574,,,,,-inf,25.544018983840942,42,8,bellman
5499,9.258048057556152,,,,,-inf,26.002827167510986,42,8,bellman
5599,6.460721015930176,,,,,-inf,26.4616641998291,42,8,bellman
5699,7.014821529388428,,,,,-inf,26.91935706138611,42,8,bellman
5799,7.8822221755981445,,,,,-inf,27.375757932662964,42,8,bellman
5899,3.0244107246398926,,,,,-inf,27.84460997581482,42,8,bellman
5999,4.489597797393799,,,,,-inf,28.308714151382446,42,8,bellman
6099,10.972919464111328,,,,,-inf,28.77083396911621,42,8,bellman
6199,13.809029579162598,,,,,-inf,29.234580993652344,42,8,bellman
6299,10.27021598815918,,,,,-inf,29.685877084732056,42,8,bellman
6399,8.688892364501953,,,,,-inf,30.15896987915039,42,8,bellman
6499,10.389737129211426,,,,,-inf,30.624670028686523,42,8,bellman
6599,2.356123447418213,,,,,-inf,31.13780379295349,42,8,bellman
6699,4.211016654968262,,,,,-inf,31.591274976730347,42,8,bellman
6799,8.514415740966797,,,,,-inf,32.06167006492615,42,8,bellman
6899,1.5652791261672974,,,,,-inf,32.52880096435547,42,8,bellman
6999,8.825636863708496,,,,,-inf,32.98847699165344,42,8,bellman
7099,15.288930892944336,,,,,-inf,33.45453977584839,42,8,bellman
7199,4.09401273727417,,,,,-inf,33.914154052734375,42,8,bellman
7299,11.037253379821777,,,,,-inf,34.36909508705139,42,8,bellman
7399,5.057694435119629,,,,,-inf,34.8221390247345,42,8,bellman
7499,12.541942596435547,,,,,-inf,35.27940893173218,42,8,bellman
7599,6.151719093322754,,,,,-inf,35.74779200553894,42,8,bellman
7699,3.3826520442962646,,,,,-inf,36.21439075469971,42,8,bellman
7799,9.283879280090332,,,,,-inf,36.67252802848816,42,8,bellman
7899,7.708039283752441,,,,,-inf,37.13915801048279,42,8,bellman
7999,5.267154216766357,,,,,-inf,37.5969660282135,42,8,bellman
8099,9.854130744934082,,,,,-inf,38.053855180740356,42,8,bellman
8199,14.601264953613281,,,,,-inf,38.52248501777649,42,8,bellman
8299,2.9448657035827637,,,,,-inf,38.981595039367676,42,8,bellman
8399,12.755844116210938,,,,,-inf,39.43774914741516,42,8,bellman
8499,5.432349681854248,,,,,-inf,39.89474582672119,42,8,bellman
8599,8.727524757385254,,,,,-inf,40.35037708282471,42,8,bellman
8699,4.346295356750488,,,,,-inf,40.81880497932434,42,8,bellman
8799,4.158017158508301,,,,,-inf,41.28502583503723,42,8,bellman
8899,4.703965187072754,,,,,-inf,41.75342082977295,42,8,bellman
8999,5.054450035095215,,,,,-inf,42.208487033843994,42,8,bellman
9099,8.03707218170166,,,,,-inf,42.67536997795105,42,8,bellman
9199,3.937310218811035,,,,,-inf,43.1774799823761,42,8,bellman
9299,5.730557918548584,,,,,-inf,43.628705978393555,42,8,bellman
9399,8.87952709197998,,,,,-inf,44.10468602180481,42,8,bellman
9499,2.3556888103485107,,,,,-inf,44.559324979782104,42,8,bellman
9599,11.434823989868164,,,,,-inf,45.0113251209259,42,8,bellman
9699,8.042759895324707,,,,,-inf,45.463818073272705,42,8,bellman
9799,4.951948165893555,,,,,-inf,45.91948699951172,42,8,bellman
9899,6.238270282745361,,,,,-inf,46.378211975097656,42,8,bellman
9999,3.0511131286621094,,,,,-inf,46.847885847091675,42,8,bellman
0,6.766873359680176,0.07775652279709902,0.071491539478302,0.149582040309906,0.4261564612388611,-0.4798629091581661,0.0017919540405273438,42,16,bellman
99,3.672161817550659,0.07515927407268463,0.06900200247764587,0.14415248036384581,0.3534359335899353,-0.5251019069828111,0.5481448173522949,42,16,bellman
199,6.487449645996094,0.0933642101591613,0.08330723643302917,0.16995012760162354,1.6615012884140015,-0.19289832469848298,1.0967068672180176,42,16,bellman
299,4.949346542358398,0.09416881854362145,0.08474941551685333,0.17065705955028534,1.5454967021942139,-0.2325420919870573,1.6575138568878174,42,16,bellman
399,2.1418919563293457,0.09333899296569143,0.08362351357936859,0.16911254227161407,1.6120624542236328,-0.21544542082761434,2.205671787261963,42,16,bellman
499,4.5555267333984375,0.09265994091798348,0.08280541002750397,0.16800872087478635,1.6574516296386719,-0.20415306722834436,2.7515218257904053,42,16,bellman
599,3.43599271774292,0.09403418148354831,0.08443792164325714,0.1702670007944107,1.583204984664917,-0.2246597289315122,3.538611888885498,42,16,bellman
699,6.9572553634643555,0.09411602268341085,0.08448830246925354,0.1703921228647232,1.5879950523376465,-0.2237837595488991,4.10125994682312,42,16,bellman
799,4.010289669036865,0.08859971474634222,0.08014942705631256,0.16215476393699646,1.4012861251831055,-0.26178977632044553,4.647509813308716,42,16,bellman
899,4.394056797027588,0.08855542517394496,0.08011338114738464,0.1621048182249069,1.3995134830474854,-0.2622030138126394,5.295675754547119,42,16,bellman
999,2.3604393005371094,0.08855428222963382,0.08011843264102936,0.16210750639438629,1.3989191055297852,-0.2623386280984808,6.003185749053955,42,16,bellman
1099,-2.3217010498046875,0.08855195817090135,0.08011932671070099,0.16210417747497557,1.3986432552337646,-0.2623847333053342,6.564759016036987,42,16,bellman
1199,10.556687355041504,0.08856083362763456,0.08015832304954529,0.16212798058986663,1.3955812454223633,-0.2630274844226601,7.1072587966918945,42,16,bellman
1299,6.25150728225708,0.08855992856944794,0.08015452325344086,0.16212365627288816,1.39589262008667,-0.26295481815656263,7.641262054443359,42,16,bellman
1399,1.7344213724136353,0.08855979262789333,0.08015432953834534,0.16212342083454132,1.3959330320358276,-0.2629397872309366,8.186328887939453,42,16,bellman
1499,2.1427125930786133,0.08563145953208733,0.07750852406024933,0.16380228996276852,0.8594650626182556,-0.3868684490186242,8.732569694519043,42,16,bellman
1599,2.223637104034424,0.08171561924016714,0.07355749607086182,0.1581653237342834,0.7495118975639343,-0.41709298299739406,9.283686876296997,42,16,bellman
1699,4.122264862060547,,,,,-inf,9.83281397819519,42,16,bellman
1799,14.155059814453125,,,,,-inf,10.36128568649292,42,16,bellman
1899,12.111693382263184,,,,,-inf,10.896909952163696,42,16,bellman
1999,5.943873405456543,,,,,-inf,11.427690982818604,42,16,bellman
2099,25.752750396728516,,,,,-inf,11.975876808166504,42,16,bellman
2199,12.919822692871094,,,,,-inf,12.504414796829224,42,16,bellman
2299,2.412400722503662,,,,,-inf,13.032315731048584,42,16,bellman
2399,4.3386383056640625,,,,,-inf,13.557292938232422,42,16,bellman
2499,12.478108406066895,,,,,-inf,14.086380004882812,42,16,bellman
2599,8.527021408081055,,,,,-inf,14.619978904724121,42,16,bellman
2699,13.782745361328125,,,,,-inf,15.155125856399536,42,16,bellman
2799,20.52178382873535,,,,,-inf,15.68622374534607,42,16,bellman
2899,4.165966033935547,,,,,-inf,16.21754789352417,42,16,bellman
2999,12.187193870544434,,,,,-inf,16.748409748077393,42,16,bellman
3099,16.89480972290039,,,,,-inf,17.276906967163086,42,16,bellman
3199,4.783770561218262,,,,,-inf,17.819528818130493,42,16,bellman
3299,9.38933277130127,,,,,-inf,18.344727993011475,42,16,bellman
3399,7.554192543029785,,,,,-inf,18.868682861328125,42,16,bellman
3499,10.252891540527344,,,,,-inf,19.393154859542847,42,16,bellman
3599,11.568275451660156,,,,,-inf,19.921324968338013,42,16,bellman
3699,3.9667892456054688,,,,,-inf,20.453759908676147,42,16,bellman
3799,13.24360466003418,,,,,-inf,20.984385013580322,42,16,bellman
3899,8.590843200683594,,,,,-inf,21.51306986808777,42,16,bellman
3999,12.19102954864502,,,,,-inf,22.04652690887451,42,16,bellman
4099,11.289602279663086,,,,,-inf,22.578673839569092,42,16,bellman
4199,13.18586540222168,,,,,-inf,23.11143183708191,42,16,bellman
4299,8.921451568603516,,,,,-inf,23.63975977897644,42,16,bellman
4399,6.563955783843994,,,,,-inf,24.167110681533813,42,16,bellman
4499,14.906514167785645,,,,,-inf,24.69275164604187,42,16,bellman
4599,3.2499523162841797,,,,,-inf,25.21783971786499,42,16,bellman
4699,2.982761859893799,,,,,-inf,25.743753910064697,42,16,bellman
4799,7.038562297821045,,,,,-inf,26.27562379837036,42,16,bellman
4899,3.7332663536071777,,,,,-inf,26.80493474006653,42,16,bellman
4999,4.19384241104126,,,,,-inf,27.338197946548462,42,16,bellman
5099,6.390092849731445,,,,,-inf,27.86817193031311,42,16,bellman
5199,4.230425834655762,,,,,-inf,28.39910864830017,42,16,bellman
5299,2.346989154815674,,,,,-inf,28.928334712982178,42,16,bellman
5399,11.505060195922852,,,,,-inf,29.456723928451538,42,16,bellman
5499,12.117138862609863,,,,,-inf,29.981088876724243,42,16,bellman
5599,9.029679298400879,,,,,-inf,30.502206802368164,42,16,bellman
5699,9.596185684204102,,,,,-inf,31.045499801635742,42,16,bellman
5799,11.019023895263672,,,,,-inf,31.570557832717896,42,16,bellman
5899,3.784944534301758,,,,,-inf,32.10285186767578,42,16,bellman
5999,6.424039840698242,,,,,-inf,32.6326687335968,42,16,bellman
6099,12.9717378616333,,,,,-inf,33.162309885025024,42,16,bellman
6199,14.943497657775879,,,,,-inf,33.69155669212341,42,16,bellman
6299,11.725165367126465,,,,,-inf,34.222455978393555,42,16,bellman
6399,9.6688232421875,,,,,-inf,34.75410580635071,42,16,bellman
6499,11.600129127502441,,,,,-inf,35.283855676651,42,16,bellman
6599,2.7390472888946533,,,,,-inf,35.80597281455994,42,16,bellman
6699,4.9503936767578125,,,,,-inf,36.33288073539734,42,16,bellman
6799,9.598971366882324,,,,,-inf,36.85588765144348,42,16,bellman
6899,1.8708878755569458,,,,,-inf,37.38626289367676,42,16,bellman
6999,9.937586784362793,,,,,-inf,37.9193856716156,42,16,bellman
7099,17.545671463012695,,,,,-inf,38.44824981689453,42,16,bellman
7199,4.8037309646606445,,,,,-inf,38.978044748306274,42,16,bellman
7299,12.003705978393555,,,,,-inf,39.51394987106323,42,16,bellman
7399,5.878963947296143,,,,,-inf,40.04215478897095,42,16,bellman
7499,13.926704406738281,,,,,-inf,40.572242736816406,42,16,bellman
7599,7.182969093322754,,,,,-inf,41.1039400100708,42,16,bellman
7699,3.8873515129089355,,,,,-inf,41.62868285179138,42,16,bellman
7799,10.647899627685547,,,,,-inf,42.14872694015503,42,16,bellman
7899,8.780852317810059,,,,,-inf,42.67176389694214,42,16,bellman
7999,5.977780818939209,,,,,-inf,43.19822883605957,42,16,bellman
8099,11.173577308654785,,,,,-inf,43.72871375083923,42,16,bellman
8199,16.179317474365234,,,,,-inf,44.259490966796875,42,16,bellman
8299,3.4508495330810547,,,,,-inf,44.788689851760864,42,16,bellman
8399,14.49201774597168,,,,,-inf,45.32588267326355,42,16,bellman
8499,6.338851451873779,,,,,-inf,45.856451988220215,42,16,bellman
