epoch,objective_train,test_euler_residual_mean,test_euler_residual_p50,test_euler_residual_p90,test_euler_residual_max,test_lifetime_reward_mean,wall_time_sec,seed,net_size,objective_name
0,0.9620821475982666,0.05854958989250008,0.047869324684143066,0.12305834889411926,0.4183856248855591,-0.7289575250875193,0.08404898643493652,42,8,lifetime_reward
99,0.35474127531051636,0.15047599371253453,0.11825864017009735,0.28773810267448424,2.392073154449463,-0.0594999716833461,1.915112018585205,42,8,lifetime_reward
199,-0.4798491895198822,0.09447800774234566,0.08552492409944534,0.16044979393482206,1.0101697444915771,0.1664959468799585,3.7530999183654785,42,8,lifetime_reward
299,0.08404102921485901,0.0871246203379269,0.078394815325737,0.15349680632352827,1.0419480800628662,0.27046410413865835,5.642750978469849,42,8,lifetime_reward
399,-0.19447284936904907,0.08402913310666009,0.0713835135102272,0.17044956684112547,1.0271897315979004,0.31650469126776226,7.624752044677734,42,8,lifetime_reward
499,-0.22525212168693542,0.07847955187583466,0.0645432397723198,0.16941775679588317,0.9145800471305847,0.3381263624990989,9.594851016998291,42,8,lifetime_reward
599,-0.07646289467811584,0.07088257852434253,0.05823797732591629,0.15571965575218197,0.7505041360855103,0.350621211713627,11.57007884979248,42,8,lifetime_reward
699,-0.5311733484268188,0.0666944247779793,0.052729278802871704,0.15203554928302765,0.672067403793335,0.3599981876598428,13.540868997573853,42,8,lifetime_reward
799,-0.19085749983787537,0.05999136309970709,0.049239397048950195,0.13470227420330044,0.55855393409729,0.36723573327780873,15.534768104553223,42,8,lifetime_reward
899,-0.4891100227832794,0.05712542388853763,0.04535847529768944,0.1320350527763366,0.5871855616569519,0.3735823718151416,17.436048984527588,42,8,lifetime_reward
999,-0.42768481373786926,0.05166973776545092,0.04280269891023636,0.11594323366880417,0.5355661511421204,0.37898418505939047,19.316678047180176,42,8,lifetime_reward
1099,-0.35348373651504517,0.04908733632625626,0.04039899259805679,0.11055139899253841,0.5090360641479492,0.38375031175791086,21.15996503829956,42,8,lifetime_reward
1199,-0.4264594614505768,0.047313188954258296,0.03824488818645477,0.10775581896305084,0.5291996002197266,0.3880856930504598,23.033268928527832,42,8,lifetime_reward
1299,-0.21720129251480103,0.046479435020924026,0.03611394762992859,0.10865481048822402,0.5572787523269653,0.3917505065940694,24.97966980934143,42,8,lifetime_reward
1399,-0.42641836404800415,0.045110693400383754,0.0343838706612587,0.10609980002045628,0.5877442359924316,0.39490071623842754,26.980089902877808,42,8,lifetime_reward
1499,-0.43807506561279297,0.047453621680326706,0.030551999807357788,0.12188000828027723,0.6190658807754517,0.3985351437618455,28.914055109024048,42,8,lifetime_reward
1599,-0.27397260069847107,0.04271470092245409,0.0294945165514946,0.10293737649917603,0.7647452354431152,0.4008579340400985,30.806472063064575,42,8,lifetime_reward
1699,-0.24271462857723236,0.04317351515160908,0.02753352001309395,0.10732180327177045,0.7713057994842529,0.40286861183805067,32.68099498748779,42,8,lifetime_reward
1799,-0.501354455947876,0.04184994714381901,0.025959014892578125,0.10292480587959289,0.7569136619567871,0.4044559636517906,34.55514693260193,42,8,lifetime_reward
1899,-0.39087945222854614,0.04258966355549774,0.024173002690076828,0.10733301416039466,0.771958589553833,0.40573554450493365,36.41634798049927,42,8,lifetime_reward
1999,-0.18217584490776062,0.03813546323800551,0.023355983197689056,0.08841433897614479,0.72856205701828,0.40690082829957613,38.28416705131531,42,8,lifetime_reward
2099,-0.639883816242218,0.03726200504971643,0.02213132567703724,0.08673477917909621,0.7198476791381836,0.4078851980502801,40.171149015426636,42,8,lifetime_reward
2199,-0.6189020276069641,0.03566849240471129,0.021158235147595406,0.08209587112069129,0.6885526180267334,0.4086666418743016,42.007274866104126,42,8,lifetime_reward
2299,-0.2772209346294403,0.03478526546621538,0.020192276686429977,0.08049842938780782,0.6920524835586548,0.4094142180144616,43.88097095489502,42,8,lifetime_reward
2399,-0.32507437467575073,0.03583851654627779,0.019140033051371574,0.08550514131784438,0.6870303153991699,0.40982639396007714,45.77052307128906,42,8,lifetime_reward
2499,-0.32947099208831787,0.03309623554487644,0.018599756062030792,0.07675845995545387,0.6597204804420471,0.4105281892988174,47.6448130607605,42,8,lifetime_reward
2599,-0.5074853897094727,0.03055091021221756,0.01804804801940918,0.06926786750555038,0.7201346158981323,0.41083475019848914,49.55248713493347,42,8,lifetime_reward
2699,-0.30520007014274597,0.03079143283871872,0.01735759526491165,0.07040327414870261,0.6282850503921509,0.41144409304003093,51.474642753601074,42,8,lifetime_reward
2799,-0.20727397501468658,0.0296667181148473,0.01684604398906231,0.06726873740553856,0.6288118362426758,0.4118274822180674,53.33916401863098,42,8,lifetime_reward
2899,-0.27316996455192566,0.02959466204772184,0.01625092513859272,0.06747743710875512,0.5933764576911926,0.41210355955585054,55.200648069381714,42,8,lifetime_reward
2999,-0.16520658135414124,0.029375264227063554,0.01570645533502102,0.06759935840964316,0.5871615409851074,0.41223830511497633,57.05821895599365,42,8,lifetime_reward
3099,-0.0646028220653534,0.026406920367790576,0.015556178987026215,0.0583166368305683,0.6278951168060303,0.41285905319784144,58.968185901641846,42,8,lifetime_reward
3199,-0.38032734394073486,0.02606263642546594,0.014858037233352661,0.05853060334920883,0.6460621356964111,0.4131815784756783,60.84540796279907,42,8,lifetime_reward
3299,-0.32866835594177246,0.024976701293504107,0.014400120824575424,0.05564800128340721,0.645022451877594,0.41353481757281374,62.71036410331726,42,8,lifetime_reward
3399,-0.3006296157836914,0.024466726554156822,0.014016218483448029,0.05468575581908225,0.5945726037025452,0.4138542511900238,64.58791899681091,42,8,lifetime_reward
