epoch,objective_train,test_euler_residual_mean,test_euler_residual_p50,test_euler_residual_p90,test_euler_residual_max,test_lifetime_reward_mean,wall_time_sec,seed,net_size,objective_name
0,0.27056002616882324,0.09703860333971534,0.08457200229167938,0.17297727167606347,2.1301045417785645,-0.2669509047386004,0.0037539005279541016,42,8,euler
99,0.051322247833013535,0.06807313269622682,0.06261640787124634,0.1286441683769226,0.34210288524627686,-0.5239263248659063,0.47806692123413086,42,8,euler
199,0.04465194791555405,0.06223627169827523,0.06209567189216614,0.10206650495529174,0.3255244493484497,-0.4936642610750986,0.9366319179534912,42,8,euler
299,0.0386531725525856,0.06097887001931667,0.06015890836715698,0.08651174902915953,0.3054998517036438,-0.3991476439640965,1.3949670791625977,42,8,euler
399,0.03283696621656418,0.06028337302042928,0.058950722217559814,0.08268004655838013,0.2792646288871765,-0.3020395446757477,1.85207200050354,42,8,euler
499,0.034337837249040604,0.059349747693740934,0.05814802646636963,0.08314798474311827,0.24755442142486572,-0.19500737091005138,2.2954978942871094,42,8,euler
599,0.020647292956709862,0.05858730339419708,0.0584162175655365,0.08306581676006317,0.22030895948410034,-0.10190839773816363,2.7396538257598877,42,8,euler
699,0.019252918660640717,0.05760337485935452,0.05747617781162262,0.0828284353017807,0.1909669041633606,0.005982850641733348,3.1842057704925537,42,8,euler
799,0.011932242661714554,0.05633495392059558,0.05427604913711548,0.08767738044261932,0.17230457067489624,0.08987481681536941,3.6350338459014893,42,8,euler
899,0.010331202298402786,0.054390117031289265,0.051911428570747375,0.0974052369594574,0.16759243607521057,0.1499665800753205,4.09248685836792,42,8,euler
999,0.006590552628040314,0.054529244288678454,0.051030173897743225,0.10353357791900634,0.16527462005615234,0.19179822485818845,4.549229860305786,42,8,euler
1099,0.007008407264947891,0.05601694753680931,0.05205799639225006,0.10736854374408722,0.16280105710029602,0.21748498473969025,5.000322103500366,42,8,euler
1199,0.006023041438311338,0.05485572610117742,0.05095332860946655,0.10564655661582947,0.15712812542915344,0.23131911215034012,5.478842735290527,42,8,euler
1299,0.005913273431360722,0.05496954348594954,0.05121950805187225,0.10576107203960418,0.15024492144584656,0.2495927340319187,6.00317907333374,42,8,euler
1399,0.006190071813762188,0.05493495236731178,0.051450178027153015,0.10545039772987366,0.14432910084724426,0.26422726179321504,6.483479022979736,42,8,euler
1499,0.0031148772686719894,0.05559546962123932,0.05249360203742981,0.10582624077796936,0.1617031991481781,0.2762655254257122,6.933826684951782,42,8,euler
1599,0.0038967691361904144,0.05520000964948849,0.05245476961135864,0.1043076992034912,0.1535314917564392,0.28791158064202693,7.37091588973999,42,8,euler
1699,0.003749641589820385,0.05428633776082279,0.051382943987846375,0.10328981280326842,0.15453669428825378,0.29189551818288745,7.8183910846710205,42,8,euler
1799,0.004155375529080629,0.053119433499887236,0.050196573138237,0.10137642323970794,0.1366615891456604,0.2987872020163964,8.267988920211792,42,8,euler
1899,0.0044174534268677235,0.05470071661942711,0.052783526480197906,0.10187654793262481,0.16778701543807983,0.30906916035837195,8.712461709976196,42,8,euler
1999,0.003861415898427367,0.05317602407065351,0.051011793315410614,0.09969803839921951,0.1436295509338379,0.3132209411336436,9.152467012405396,42,8,euler
2099,0.004673905670642853,0.05206259898917778,0.04967419058084488,0.0982262760400772,0.13331931829452515,0.3166697365304686,9.61934494972229,42,8,euler
2199,0.00413516303524375,0.051394537704345565,0.04906877875328064,0.09685548841953277,0.12778139114379883,0.3212207097996864,10.079129934310913,42,8,euler
2299,0.002406361512839794,0.050511140030921525,0.04818073660135269,0.09533902704715728,0.11293110251426697,0.3253995066833003,10.538360118865967,42,8,euler
2399,0.002905788365751505,0.05045202895635157,0.04851044714450836,0.09430826306343079,0.11335593461990356,0.3299071844275914,10.973998785018921,42,8,euler
2499,0.0032526575960218906,0.049817420795625365,0.04794256389141083,0.09303935915231705,0.11513599753379822,0.3334423768891469,11.420750856399536,42,8,euler
2599,0.0027691363357007504,0.04900401295366464,0.04696526378393173,0.09199668765068054,0.11058717966079712,0.3352654064761415,11.888461112976074,42,8,euler
2699,0.0033070696517825127,0.04896810126774653,0.047225698828697205,0.09151649326086043,0.10816055536270142,0.33795828575891557,12.402215957641602,42,8,euler
2799,0.002788059413433075,0.047594198962560764,0.0455503910779953,0.09026726484298705,0.10236796736717224,0.3385673561375633,12.882823944091797,42,8,euler
2899,0.0027556566055864096,0.04652921882165174,0.044363342225551605,0.08888531029224395,0.10022604465484619,0.3406385457665415,13.324777841567993,42,8,euler
2999,0.0025845873169600964,0.04776486261405807,0.04637499898672104,0.08932110965251923,0.11299732327461243,0.34336354776610356,13.793694019317627,42,8,euler
3099,0.0023774728178977966,0.04736529545267331,0.04642009735107422,0.08705663681030273,0.10296055674552917,0.34850202459036717,14.235208988189697,42,8,euler
3199,0.001986354123800993,0.04614478518735268,0.044689565896987915,0.08649256527423858,0.12148770689964294,0.3487423157196792,14.685021877288818,42,8,euler
3299,0.0019403777550905943,0.047361359443075346,0.047179579734802246,0.08509764820337296,0.13162365555763245,0.35401087186475055,15.130051851272583,42,8,euler
3399,0.002598737832158804,0.04466461553945919,0.04326473921537399,0.08444203585386276,0.16252896189689636,0.35153111420107575,15.602513790130615,42,8,euler
3499,0.002447356004267931,0.04567738720186753,0.04519539326429367,0.0832395166158676,0.19599804282188416,0.3553516989580713,16.196037769317627,42,8,euler
3599,0.0019335509277880192,0.04399938061409557,0.04294656217098236,0.08199400007724762,0.17800533771514893,0.3566974102484609,16.641044855117798,42,8,euler
3699,0.0017368346452713013,0.045255818150944836,0.04523501545190811,0.08120893388986587,0.2179548740386963,0.36039981303821167,17.081347703933716,42,8,euler
