l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
1,0.05165725162169799,0.9706134286873763,0.016489311663028916,0.3889643233049606,0.20872392451629607,0.010726690929171594,652.4901821613312,0.9999732168559667,5.303252308570381,0.1539154962652859
5,0.3239055578347617,0.7968615086390617,0.49418110460001463,0.08519791612857794,0.5104837483886909,0.04324388312288335,680.528706073761,0.9948833175052632,30.554456489577756,1.6439761096864491
10,0.6518258143862833,0.808599584660747,0.5660228095188573,0.043981871548749794,0.5653784260648927,0.04610062953981643,673.6585030555725,0.9949067601400572,59.359296045251504,3.318371677797827
50,3.6002828692928635,0.8867543184724903,0.560924953901563,0.05320558302611791,0.5681631701900514,0.044780238709031014,771.5791721343994,0.9963645984410756,305.59193050258864,17.11652828420436
100,6.216541675838352,0.8398990988164922,0.583949181602367,0.039264742143079415,0.5844968309415485,0.043710996088664356,744.8169620037079,0.9955600191528002,626.787587071174,31.034999518515114
500,35.05549564552816,0.6028756395870573,0.5547957383583528,0.06011958232344427,0.5665884181402926,0.045130936009926854,3345.809017896652,0.9903621991245126,3032.156202135791,232.02018273359576
1000,64.19434807433002,0.5002663712552089,0.6231280709003011,0.04225854580041671,0.6451396134467349,0.04261040766380601,8843.732689857483,0.984458700052854,6432.652957426698,437.7748549597552
