objective,l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
lifetime_reward,1,0.05165725162169799,0.9706134286873763,0.016489311663028916,0.3889643233049606,0.20872392451629607,0.010726690929171594,652.4901821613312,0.9999732168559667,5.303252308570381,0.1539154962652859
lifetime_reward,5,0.3239055578347617,0.7968615086390617,0.49418110460001463,0.08519791612857794,0.5104837483886909,0.04324388312288335,680.528706073761,0.9948833175052632,30.554456489577756,1.6439761096864491
lifetime_reward,10,0.6518258143862833,0.808599584660747,0.5660228095188573,0.043981871548749794,0.5653784260648927,0.04610062953981643,673.6585030555725,0.9949067601400572,59.359296045251504,3.318371677797827
lifetime_reward,50,3.6002828692928635,0.8867543184724903,0.560924953901563,0.05320558302611791,0.5681631701900514,0.044780238709031014,771.5791721343994,0.9963645984410756,305.59193050258864,17.11652828420436
lifetime_reward,100,6.216541675838352,0.8398990988164922,0.583949181602367,0.039264742143079415,0.5844968309415485,0.043710996088664356,744.8169620037079,0.9955600191528002,626.787587071174,31.034999518515114
lifetime_reward,500,35.05549564552816,0.6028756395870573,0.5547957383583528,0.06011958232344427,0.5665884181402926,0.045130936009926854,3345.809017896652,0.9903621991245126,3032.156202135791,232.02018273359576
lifetime_reward,1000,64.19434807433002,0.5002663712552089,0.6231280709003011,0.04225854580041671,0.6451396134467349,0.04261040766380601,8843.732689857483,0.984458700052854,6432.652957426698,437.7748549597552
euler,1,,,5130.748835602225,-3065.404080678969,2976.0339042700666,246.4038376154055,29.523571014404297,0.0015007082184861353,3.068095047721942e-11,1.2011096665097306e-08
euler,5,0.39723445133810337,0.31027905329523076,0.04422017178448545,0.36467055585230945,0.21195380004138312,0.010597690139723528,31.89826488494873,0.9779628450640075,129.3001223118576,3.7270841997218067
euler,10,0.7904381778111272,0.6005865281874205,0.028304227309702057,0.3787113046924526,0.2070962366218286,0.010354811994248292,33.99961805343628,0.9802361282804736,264.7036035189712,5.023642237126656
euler,50,0.004532109725890621,0.9999999999212471,0.3405971411868014,0.19032144776874121,0.416196064082667,0.04043631184090644,45.97603392601013,0.9211287953465213,1.5188003324991547e-06,1.8410899333328684e-07
euler,100,7.005406883373443,0.8896855731269503,0.04552779957449826,0.3637593674458635,0.21221805935126478,0.010610903213272306,59.879640102386475,0.989004662416632,2582.9231120266913,22.383697458128363
euler,500,5.763703417790287,0.9989903444045877,0.2857535111540954,0.21911770489283222,0.37326971480527,0.030937592238601663,188.30280780792236,0.9530867119408676,21.80282967778613,1.0998969467389228
euler,1000,330.6965312061317,-0.07051495868671427,0.3993975208576075,0.13427606736770567,0.4322807789521068,0.02294529655221038,563.5445580482483,0.9971300763201476,11946.138544016687,4387.953398713131
bellman,1,0.04781909685687066,0.9369893330236468,0.018829999537185893,0.38735493003900207,0.20996631919135963,0.010800601610922927,31.358561992645264,0.9999922289556902,3.599735387249075,0.11911504881029109
bellman,5,0.5285714503854744,0.27870978289725684,0.47358283183898675,0.10087819413619489,0.4999243890117236,0.030290972823322868,34.439044713974,0.9900173490723729,45.224469321216596,4.821705922400236
bellman,10,0.8742257079003293,0.4545766253076218,0.43016504611332995,0.12843777356737415,0.4706536262092717,0.03260461700285977,36.553882122039795,0.9943100381867035,84.04500577181008,8.19078417720412
bellman,50,12.675259220090027,0.2965252353231919,0.4521807301683394,0.12168818668563566,0.4978773525828532,0.031196544865102857,49.342666149139404,0.9954906344431945,439.2230258023782,131.7649194939818
bellman,100,10.153597846121484,0.22290046593623913,0.40125501719570233,0.14010460861388718,0.4417824358814248,0.031168509445736254,63.26237392425537,0.994315072013375,877.052702747476,103.8356462574485
bellman,500,37.20250397823563,0.48258718766483105,0.402218114835305,0.1491555938938016,0.45388755871761044,0.037323040976214854,203.41656494140625,0.9832571674951548,2973.5152763385063,247.22985001710748
bellman,1000,82.50108856262717,0.29915460237478847,0.398274996736633,0.15477420844337947,0.45797893313270244,0.03268624008418063,544.9176089763641,0.9825712947555277,8384.13570422117,784.0403685202012
