objective,l,std(y),"corr(y,c)",Gini(k),Bottom 40%,Top 20%,Top 1%,"Time, sec.",R2,K_mean,K_std
bellman,1,2.7284602176582587e-06,0.893698424340161,4.616129165579963e-07,0.3999998046971638,0.20000037541383742,0.010000203945854108,110.56733012199402,0.9997733690591668,21.46226632429124,5.750520879197358e-05
bellman,5,0.06835123054582978,-0.27064930573017904,0.12782141143708747,0.31031719685838616,0.2600929320851733,0.014738982536441564,114.51652717590332,0.9960007129306735,83.19102947794012,1.218515076749476
bellman,10,0.010072457027093681,0.13079141514829856,0.0006707930435576603,0.39957793612914444,0.20014069099722395,0.010007034622192922,119.18535685539246,0.8097759808206662,273.8835159395216,0.24803368886919383
bellman,50,0.6186513645502209,-0.24293661774606767,0.0781239298328893,0.3462207469407997,0.239067988445096,0.013322213909858395,143.19375109672546,0.9890714721831572,1013.3349290282079,12.557086423825062
bellman,100,0.0005464689194758762,0.9999998070178272,0.10104408849129842,0.33181443868404015,0.2538579838913908,0.014708659278121075,173.89124298095703,0.8663449523388345,0.0008208584386900773,8.998573448435919e-07
bellman,500,18.67061950613565,0.370758842754954,0.26087655838846,0.2324281413157003,0.3554596218760677,0.026385451920888717,602.449380159378,0.8440634264001505,1697.5282809186904,119.46781868119146
bellman,1000,49.459340712978936,0.3707455779813,0.6358377569466549,0.07218076078652527,0.7464140223089635,0.056311216232480234,1750.636074066162,0.8105264207159636,3367.1826418395403,322.6694644709491
